,Rep1,Rep2,Rep3
stn3-d2-bulk-pul-t0,no,no,no
stn3-d2-bulk-pul-t1,yes,yes,yes
stn3-d2-bulk-pul-t2,yes,no,yes
stn3-d2-bulk-pul-t3,yes,yes,yes
stn3-d2-bulk-pul-t4,yes,yes,yes
stn3-d2-bulk-lam-t0,no,no,no
stn3-d2-bulk-lam-t1,yes,yes,yes
stn3-d2-bulk-lam-t2,yes,yes,yes
stn3-d2-bulk-lam-t3,yes,yes,yes
stn3-d2-bulk-lam-t4,yes,yes,yes
stn3-d2-bulk-xyl-t0,no,no,no
stn3-d2-bulk-xyl-t1,yes,yes,yes
stn3-d2-bulk-xyl-t2,yes,yes,yes
stn3-d2-bulk-xyl-t3,yes,yes,yes
stn3-d2-bulk-xyl-t4,yes,yes,yes
stn3-d2-bulk-fuc-t0,no,no,no
stn3-d2-bulk-fuc-t1,no,no,no
stn3-d2-bulk-fuc-t2,no,no,no
stn3-d2-bulk-fuc-t3,no,no,no
stn3-d2-bulk-fuc-t4,no,no,no
stn3-d2-bulk-ara-t0,no,no,no
stn3-d2-bulk-ara-t1,no,no,no
stn3-d2-bulk-ara-t2,no,no,no
stn3-d2-bulk-ara-t3,no,no,no
stn3-d2-bulk-ara-t4,no,no,no
stn3-d2-bulk-chn-t0,no,no,no
stn3-d2-bulk-chn-t1,yes,yes,yes
stn3-d2-bulk-chn-t2,yes,yes,yes
stn3-d2-bulk-chn-t3,yes,yes,yes
stn3-d2-bulk-chn-t4,yes,yes,yes
